序號,門,綱,目,科,屬,中名,性狀簡述,分布簡述
1,木蘭植物門,木蘭綱,八角目,五味子科,五味子屬,阿里山五味子,"葉卵狀披針形或橢圓形，先端漸尖成一小突尖，齒緣。雌蕊橢圓球狀。果序穗狀。 落葉木質藤本，全株平滑。葉長橢圓形或倒卵形，具疏淺齒緣。花雌雄異株，花梗細長。果實為穗狀漿果，成熟時呈紅色，成串垂掛在枝條上十分醒目。",全島中海拔山區之林緣，路旁。
2,木蘭植物門,木蘭綱,八角目,八角科,八角茴香屬,台灣八角,"葉狹橢圓形，披針形或倒卵狀橢圓形，中脈於上表面下凹，寬約1 mm。花被片淡紅色，圓形或倒卵形，下凹；心皮12-14。果序之蓇葖果12-14。",生長於全島低中海拔之闊葉林中。
3,木蘭植物門,木蘭綱,唇形目,唇形科,仙草屬,仙草,"屬特徵:一年生草本；葉鋸齒緣。頂生狹圓錐狀輪生聚繖花序；花萼鐘型宿存，具明顯橫脈及小凹穴，二唇，上唇3裂，中裂片最長，下唇船形；花冠筒狀，二唇，上唇3裂，中裂片較寬，下唇船形；雄蕊4，稍2強，上方一對花絲近基部具附屬物；子房深4裂，花柱基生。小堅果倒卵形，具線條。 種特徵:葉片橢圓形至卵形，長3-7 cm，寬1-3 cm，基部楔形，先端銳尖，被細毛或僅背面脈上被毛；葉柄長0.2-1.5 cm。花冠白色或淡紅色。",全島山區沙質地草叢中。
4,木蘭植物門,木蘭綱,唇形目,唇形科,假糙蘇屬,假糙蘇,"多年生草本；葉片橢圓形、橢圓狀卵形至長橢圓狀卵形，長5-20 cm，寬2-10 cm，基部鈍形至圓形，先端漸尖，不明顯鈍鋸齒緣，無毛或脈上被伏毛；葉柄長2-8 cm。萼齒非常寬卵形，先端尾狀；花冠黃色、淡黃色或近乎白色。",全島中低海拔山區林下。
5,木蘭植物門,木蘭綱,唇形目,唇形科,假糙蘇屬,台灣假糙蘇,"多年生草本；葉片橢圓形至卵形，長5-18 cm，寬2-5 cm，基部漸狹或長楔形帶翼下延，先端漸尖，明顯鋸齒緣，表面疏被微毛，背面被腺點；葉柄長1-4 cm。",全島中低海拔山區林下及潮濕地。
6,木蘭植物門,木蘭綱,唇形目,唇形科,假糙蘇屬,絨萼舞子草,"多年生草本至亞灌木；葉片橢圓形至卵形，長12-20 cm，寬6-12 cm，基部鈍形或圓形，先端銳尖，鈍齒緣，表面被短柔毛或近無毛，背面脈上被微毛；葉柄長1-5 cm。花萼密被絨毛，萼齒非寬卵形；花冠灰黃色。",全島中低海拔山區林下。
7,木蘭植物門,木蘭綱,唇形目,唇形科,刺蕊草屬,水虎尾,"多年生草本；葉3-4枚輪生，無柄；葉片狹橢圓形，長3-8 cm，寬 1.5-5 mm，基部漸狹至楔形，先端漸尖，鋸齒緣，兩面主脈被微毛和腺點。花序頂生密集；花冠裂片約略相等。",全島低海拔山區。
8,木蘭植物門,木蘭綱,唇形目,唇形科,刺蕊草屬,台灣刺蕊草,多年生草本至亞灌木；葉對生，長柄，葉片卵形至寬卵形，基部楔形，先端銳尖，不規則缺刻緣，表面疏被微毛，背面被腺點及脈上被微毛。花序鬆散；花冠白色，裂片約相等。,全島中低海拔山區。
9,木蘭植物門,木蘭綱,唇形目,唇形科,刺蕊草屬,耳葉刺蕊草,"一年生草本，被黃色平展長硬毛；葉對生，近無柄或短柄，葉片橢圓形至長橢圓狀卵形，長2-7 cm，寬 1-2 cm，基部楔形，先端銳尖，規則鋸齒緣，兩面被曲柔毛，背面被腺點。花序密集；花冠淡紫色至白色，稍兩唇。",全島中低海拔山區疏林下。
10,木蘭植物門,木蘭綱,唇形目,唇形科,塔花屬,風輪菜,"多年生草本；葉片長2-4 cm，寬1.5-3 cm，基部楔形至圓形，兩面被長曲柔毛，上面較密，下面疏，葉柄長5-10 mm。花序半球形；萼齒先端刺尖；花冠紫紅色。 多年生草本，多分枝，莖方形，葉對生，全株被毛。花莖斜上，花序頂生及腋生，     花小淡粉紅色，6~8月為盛花期。分布廣泛，從乾旱的岩屑地至潮濕之山溝邊皆     可見之。",中低海拔荒地及路旁。
